ID,TYPE,LONGITUD,LATITUD,EQUIPAMENT,NOM_BARRI
2392,K014,2.144.921,41.375.184,BUS -D20-52--,Hostafrancs
2393,K015,2.151.104,41.391.317,NITBUS -N3-N7--,l'Antiga Esquerra de l'Eixample
2394,K014,2.212.925,41.416.496,BUS -V31-136--,el Besòs i el Maresme
2395,K014,2.150.105,41.406.207,BUS -22-24-116-87-V17--,la Vila de Gràcia
2396,K014,2.137.476,41.362.101,BUS -109-V3-H16--,la Marina de Port
2397,K014,2.167.755,41.415.757,BUS -39-D40-191--,el Guinardó
2398,K014,2.160.101,4.139.117,BUS -7-67-V15--,l'Antiga Esquerra de l'Eixample
2399,K014,2.118.042,41.404.173,BUS -130--,Sarrià
2400,K014,2.152.064,41.425.248,BUS -19-H2--,la Teixonera
2401,K014,2.143.195,41.354.799,BUS -23-109-V3-H16--,la Marina de Port
2402,K015,2.163.982,41.409.607,NITBUS -N6--,el Camp d'en Grassot i Gràcia Nova
2403,K016,2.163.996,41.386.101,AEROBUS -A1-A2--,Sant Antoni
2404,K015,2.163.996,41.386.101,NITBUS -N1-N12-N13-N14-N15-N16-N17-N2-N3-N8-N18-N28--,Sant Antoni
2405,K014,2.178.761,41.443.541,BUS -76-132-H2-D50--,la Prosperitat
2406,K014,2.179.581,41.445.439,BUS -132-H2-D50--,la Prosperitat
2407,K014,2.167.586,41.390.169,BUS -7-22-24-V15--,la Dreta de l'Eixample
2408,K014,2.186.515,41.425.432,BUS -62-96-V29--,la Sagrera
2409,K014,2.151.744,41.366.571,BUS -150--,el Poble-sec
2410,K014,2.147.399,41.365.508,BUS -125-150--,el Poble-sec
2411,K014,2.147.036,41.410.416,BUS -27-87--,Vallcarca i els Penitents
2412,K015,2.125.177,41.377.073,NITBUS -N3--,Sants - Badal
2413,K014,2.146.309,41.369.444,BUS -13-23-150--,la Font de la Guatlla
2414,K014,2.162.729,41.421.094,BUS -24--,el Carmel
2415,K014,2.158.407,41.419.384,BUS -24--,el Carmel
2416,K014,2.160.203,4.142.067,BUS -24--,el Carmel
2417,K014,2.195.046,41.383.611,BUS -47-59-D20--,la Barceloneta
2418,K015,2.160.151,41.396.171,NITBUS -N4-N5--,la Dreta de l'Eixample
2419,K014,2.148.941,41.394.505,BUS -V13--,Sant Gervasi - Galvany
2420,K014,2.154.048,41.395.807,BUS -V15--,Sant Gervasi - Galvany
2421,K014,212.264,41.385.672,BUS -113-M12--,la Maternitat i Sant Ramon
2422,K015,2.108.885,41.385.796,NITBUS -N12--,Pedralbes
2423,K015,2.162.081,41.441.567,NITBUS -N6--,Canyelles
2424,K014,215.063,41.426.284,BUS -112-185--,la Clota
2425,K014,2.144.076,4.142.718,BUS -112--,la Vall d'Hebron
2426,K014,2.109.974,41.388.145,BUS -113--,Pedralbes
2427,K014,2.104.347,41.389.119,BUS -113--,Pedralbes
