"TYPE","LONGITUD","LATITUD","EQUIPAMENT","NOM_BARRI"
"K014","2.171968","41.418611","BUS -39-D40-V23--","el Guinardó"
"K014","2.174064","41.46223","BUS -62-76-155--","Ciutat Meridiana"
"K015","2.174064","41.46223","NITBUS -N3--","Ciutat Meridiana"
"K014","2.183646","41.433363","BUS -62-96-126-133--","Sant Andreu"
"K014","2.136866","41.427544","BUS -19-76-112--","Sant Genís dels Agudells"
"K014","2.144262","41.413093","BUS -22-87-V19--","Vallcarca i els Penitents"
"K015","2.144262","41.413093","NITBUS -N5--","Vallcarca i els Penitents"
"K014","2.15863","41.414915","BUS -24-V19--","la Salut"
"K014","2.190934","41.439445","BUS -126-H4-V31--","Sant Andreu"
"K015","2.172455","41.445551","NITBUS -N6--","les Roquetes"
"K014","2.125365","41.332166","BUS -21-109--","la Marina del Prat Vermell"
"K015","2.159921","41.374911","NITBUS -N0--","el Poble-sec"
"K015","2.172594","41.459956","NITBUS -N3--","Ciutat Meridiana"
"K014","2.141319","41.422371","BUS -19-27-119-H4--","la Teixonera"
"K014","2.126971","41.387467","BUS -70-V3-V5-M12-175--","la Maternitat i Sant Ramon"
"K014","2.180278","41.390721","BUS -B25-B20-H16-V19--","Sant Pere, Santa Caterina i la Ribera"
"K014","2.206737","41.405599","BUS -B25-V27--","Diagonal Mar i el Front Marítim del Poblenou"
"K014","2.16268","41.38","BUS -55-120-141-H16-V11-D50--","Sant Antoni"
"K015","2.137384","41.331072","NITBUS -N1--","la Marina del Prat Vermell"
"K014","2.128784","41.330141","BUS -109--","la Marina del Prat Vermell"
"K015","2.146179","41.405856","NITBUS -N0--","el Putxet i el Farró"
"K014","2.174516","41.430801","BUS -47-132-D40-V29-D50--","el Turó de la Peira"
"K014","2.181928","41.430305","BUS -11-34-122-H6-V29--","Porta"
"K015","2.14478","41.430697","NITBUS -N4--","Montbau"
"K015","2.185031","41.382581","NITBUS -N0-N12-N6-N8-N28--","Sant Pere, Santa Caterina i la Ribera"
"K014","2.192323","41.379196","BUS -47-59-D20--","la Barceloneta"
"K014","2.163191","41.406685","BUS -V19--","el Camp d'en Grassot i Gràcia Nova"
"K014","2.168488","41.427509","BUS -19-V25--","Vilapicina i la Torre Llobeta"
"K014","2.153584","41.437304","BUS -102-V25--","Horta"
"K014","2.145374","41.402377","BUS -V15--","Sant Gervasi - Galvany"
"K015","2.139954","41.401276","NITBUS -N8--","Sant Gervasi - Galvany"
"K015","2.117209","41.403988","NITBUS -N8--","Sarrià"
"K015","2.180525","41.447413","NITBUS -N1-N6--","la Trinitat Nova"
"K015","2.155939","41.380067","NITBUS -N1-N13-N14-N15-N16-N17-N2-N18-N28--","Sant Antoni"
"K014","2.155982","41.375681","BUS -55--","Sant Antoni"
"K015","2.164916","41.414861","NITBUS -N0-N6--","Can Baró"
"K014","2.205973","41.405742","BUS -B25-B20-136--","el Poblenou"
"K015","2.205973","41.405742","NITBUS -N6--","el Poblenou"
"K015","2.194787","41.409076","NITBUS -N2--","Provençals del Poblenou"
"K014","2.190539","41.414948","BUS -33-34-B24-H10--","Navas"
"K015","2.166017","41.399796","NITBUS -N6--","la Dreta de l'Eixample"
"K015","2.175899","41.426431","NITBUS -N1-N6--","Vilapicina i la Torre Llobeta"
"K014","2.150152","41.405775","BUS -27-D40--","la Vila de Gràcia"
"K014","2.149537","41.406776","BUS -24-H6-D40--","la Vila de Gràcia"
"K015","2.149537","41.406776","NITBUS -N0--","la Vila de Gràcia"
"K014","2.150107","41.403669","BUS -27-D40--","la Vila de Gràcia"
"K015","2.191107","41.423057","NITBUS -N9--","la Sagrera"
"K014","2.186785","41.421968","BUS -62-96-H8-V27--","la Sagrera"
"K014","2.121579","41.386995","BUS -7-33-L97-H6-E97-E98--","Pedralbes"
"K015","2.170154","41.41653","NITBUS -N6--","el Guinardó"
"K014","2.197453","41.411116","BUS -H12--","Provençals del Poblenou"
"K014","2.128494","41.378962","BUS -54--","Sants - Badal"
"K014","2.192438","41.433612","BUS -11-126-133--","Sant Andreu"
"K015","2.172812","41.389051","NITBUS -N11-N12-N15-N4-N8-N28--","la Dreta de l'Eixample"
"K015","2.164519","41.38566","NITBUS -N6--","el Raval"
"K015","2.163298","41.393379","NITBUS -N4-N6--","la Dreta de l'Eixample"
"K014","2.141542","41.411635","BUS -V17-V19--","el Putxet i el Farró"
"K015","2.172252","41.435247","NITBUS -N1-N6--","Porta"
"K015","2.181829","41.406519","NITBUS -N9--","la Sagrada Família"
"K014","2.174697","41.39545","BUS -6-19-V19-D50--","la Dreta de l'Eixample"
"K015","2.175298","41.395502","NITBUS -N1-N4--","la Dreta de l'Eixample"
"K014","2.111615","41.387013","BUS -113-JM-H4-E44-175--","Pedralbes"
"K014","2.149901","41.371199","BUS -13-150--","la Font de la Guatlla"
"K014","2.125031","41.391383","BUS -6--","Sarrià"
"K015","2.154048","41.395807","NITBUS -N5--","Sant Gervasi - Galvany"
"K014","2.118962","41.390033","BUS -63-78-V5--","Pedralbes"
"K015","2.127412","41.388475","NITBUS -N12--","les Corts"
"K014","2.141212","41.429345","BUS -V21--","Montbau"
"K014","2.103856","41.391488","BUS -113--","Pedralbes"
"K014","2.161177","41.415248","BUS -114--","Can Baró"
"K015","2.191287","41.40422","NITBUS -N7--","el Parc i la Llacuna del Poblenou"
"K015","2.104737","41.385308","NITBUS -N12--","Pedralbes"
"K014","2.125662","41.38982","BUS -6-34--","Pedralbes"
"K014","2.110043","41.384075","BUS -67-M14--","Pedralbes"
"K014","2.108412","41.383662","BUS -67-L97-E97-E98-E79-E43-E30--","Pedralbes"
"K014","2.178567","41.376726","BUS -59-120-D20-H14-V13--","el Barri Gòtic"
