NOM_CAPA,LONGITUD,LATITUD,EQUIPAMENT,NOM_BARRI,id
Metro i línies urbanes FGC,2.197293,41.399236,Llacuna (Pujades / Ciutat de Granada)-,el Poblenou,140
Metro i línies urbanes FGC,2.185845,41.382396,Barceloneta (Plaça Pau Vila)-,"Sant Pere, Santa Caterina i la Ribera",141
Metro i línies urbanes FGC,2.177091,41.448119,Roquetes (Vidal i Guasch)-,les Roquetes,142
Metro i línies urbanes FGC,2.209721,41.444808,Can Peixauet (Avinguda Santa Coloma)-,,143
Metro i línies urbanes FGC,2.155041,41.423673,El Carmel (Mercat)-,el Carmel,144
Metro i línies urbanes FGC,2.160597,41.395388,Diagonal (Pg. de Gràcia (escala mecànica))-,la Dreta de l'Eixample,145
Metro i línies urbanes FGC,2.128194,41.341726,Parc Logístic (Av. Parc Logístic / C. Número Vint-i-cinc)-,la Marina del Prat Vermell,146
Metro i línies urbanes FGC,2.088938,41.31644,Parc Nou (Riu Llobregat / Riu Ebre)-,,147
RENFE,2.167379,41.481319,RENFE - MONTCADA I REIXAC-STA. MARIA-,,148
RENFE,2.181952,41.393385,RENFE - ARC DE TRIOMF-,el Fort Pienc,149
RENFE,2.16875,41.387019,RENFE - CATALUNYA-,la Dreta de l'Eixample,150
Metro i línies urbanes FGC,2.238419,41.444477,Pep Ventura (Avinguda Marquès de Mont-roig)-,,151
Metro i línies urbanes FGC,2.110967,41.351449,Bellvitge (Rambla de la Marina / Trav. Industrial)-,,152
Metro i línies urbanes FGC,2.100045,41.363552,Rambla Just Oliveras (Rambla Just Oliveras)-,,153
Metro i línies urbanes FGC,2.10363,41.36809,Can Serra (Parc de les Planes)-,,154
Metro i línies urbanes FGC,2.110159,41.368206,Florida (Blocs Florida)-,,155
Tren a l'aeroport,2.165256,41.39187,Tren AEROPORT - PASSEIG DE GRÀCIA-,la Dreta de l'Eixample,156
RENFE,2.021024,41.410017,RENFE - MOLINS DE REI-,,157
